,user_id,age,sex,num_its
0,0,45_54,1.0,10
1,1,25_34,0.0,6
2,2,45_54,0.0,6
3,3,65_inf,0.0,5
4,4,18_24,0.0,3
5,6,18_24,0.0,3
6,8,25_34,1.0,8
7,9,18_24,0.0,7
8,10,25_34,0.0,9
9,11,25_34,0.0,7
10,12,25_34,0.0,10
11,13,65_inf,0.0,7
12,14,18_24,0.0,5
13,15,18_24,0.0,8
14,16,18_24,0.0,4
15,17,35_44,0.0,6
16,19,35_44,0.0,7
17,20,25_34,1.0,6
18,21,55_64,0.0,11
19,22,45_54,0.0,4
20,24,25_34,1.0,10
21,25,55_64,1.0,5
22,26,18_24,0.0,10
23,27,35_44,0.0,11
24,28,35_44,0.0,6
25,30,25_34,0.0,4
26,31,35_44,0.0,4
27,32,25_34,0.0,5
28,33,18_24,1.0,4
29,34,25_34,0.0,6
30,35,18_24,0.0,10
31,36,35_44,0.0,10
32,37,45_54,0.0,9
33,39,55_64,0.0,10
35,42,25_34,0.0,4
36,43,35_44,0.0,7
37,44,25_34,0.0,7
38,45,25_34,0.0,14
39,46,35_44,1.0,4
40,47,35_44,0.0,3
41,48,35_44,1.0,77
42,50,25_34,1.0,6
43,52,25_34,0.0,3
44,53,45_54,0.0,11
45,54,45_54,0.0,12
46,55,45_54,0.0,5
47,56,55_64,0.0,4
48,57,25_34,0.0,3
49,58,35_44,0.0,7
50,59,65_inf,1.0,4
51,61,35_44,0.0,1
52,62,35_44,0.0,14
53,63,18_24,1.0,4
54,64,25_34,0.0,11
55,65,35_44,0.0,7
56,66,18_24,0.0,4
57,67,45_54,1.0,5
58,68,25_34,1.0,3
59,69,65_inf,0.0,5
60,70,18_24,0.0,3
61,72,35_44,1.0,7
62,73,35_44,1.0,6
63,74,35_44,0.0,11
65,76,25_34,0.0,13
66,77,65_inf,1.0,5
67,78,18_24,0.0,9
68,80,35_44,0.0,6
69,81,35_44,1.0,10
70,82,18_24,0.0,48
71,83,45_54,0.0,4
72,84,25_34,0.0,14
73,85,25_34,1.0,4
74,86,45_54,1.0,6
75,87,45_54,0.0,5
76,88,55_64,1.0,5
77,89,35_44,1.0,11
78,90,55_64,0.0,4
79,91,35_44,1.0,94
80,93,18_24,0.0,13
81,94,45_54,1.0,11
82,95,45_54,0.0,9
83,96,25_34,1.0,4
84,97,35_44,0.0,9
85,98,25_34,0.0,8
86,99,35_44,0.0,7
87,100,25_34,0.0,10
88,101,45_54,1.0,5
89,103,35_44,0.0,8
90,104,25_34,0.0,3
91,105,18_24,0.0,4
92,106,45_54,1.0,7
93,107,65_inf,0.0,5
94,108,25_34,1.0,8
95,109,18_24,0.0,4
96,110,45_54,0.0,6
97,111,35_44,1.0,4
98,112,18_24,0.0,5
99,114,25_34,0.0,9
100,116,35_44,1.0,8
101,117,18_24,0.0,6
102,118,25_34,0.0,26
103,119,25_34,0.0,9
104,120,45_54,0.0,5
105,121,25_34,0.0,6
106,122,18_24,0.0,4
107,123,25_34,1.0,4
108,124,35_44,0.0,6
109,125,45_54,0.0,7
110,127,18_24,0.0,5
111,128,18_24,0.0,9
112,130,25_34,0.0,10
113,132,25_34,0.0,19
114,133,35_44,0.0,5
115,134,35_44,0.0,5
116,138,55_64,0.0,3
117,139,25_34,0.0,8
118,141,45_54,0.0,5
119,142,55_64,0.0,23
120,143,25_34,0.0,11
121,144,35_44,1.0,5
122,145,55_64,0.0,5
124,147,45_54,0.0,13
125,148,25_34,1.0,10
126,149,35_44,0.0,5
127,150,35_44,0.0,5
128,151,18_24,0.0,9
129,152,25_34,0.0,7
130,153,35_44,0.0,8
131,154,25_34,0.0,253
132,155,45_54,0.0,6
133,156,18_24,0.0,3
134,157,18_24,0.0,3
135,158,35_44,0.0,12
136,159,25_34,1.0,4
137,160,35_44,0.0,73
138,161,35_44,1.0,10
139,162,35_44,0.0,6
140,164,35_44,,8
141,165,25_34,1.0,4
142,166,25_34,0.0,13
143,170,35_44,0.0,6
144,171,25_34,0.0,3
145,172,25_34,0.0,14
146,173,18_24,0.0,6
147,174,35_44,0.0,6
148,175,35_44,0.0,8
149,176,35_44,0.0,3
150,177,18_24,0.0,9
151,178,25_34,,13
152,179,35_44,0.0,18
153,180,35_44,1.0,9
154,181,25_34,0.0,3
155,182,25_34,0.0,10
156,183,25_34,0.0,8
157,184,45_54,1.0,11
158,185,45_54,1.0,9
159,186,18_24,1.0,4
160,187,18_24,0.0,5
161,189,65_inf,0.0,11
162,190,35_44,1.0,11
163,191,25_34,0.0,7
164,192,45_54,0.0,22
165,193,65_inf,0.0,8
166,194,25_34,0.0,3
167,195,45_54,0.0,7
168,196,25_34,0.0,7
169,197,18_24,0.0,2
170,198,25_34,0.0,6
171,199,25_34,0.0,10
172,200,25_34,0.0,5
173,201,25_34,0.0,10
174,202,18_24,1.0,9
175,203,45_54,0.0,5
176,204,45_54,0.0,8
177,205,65_inf,0.0,10
178,207,25_34,0.0,8
179,209,45_54,1.0,16
180,210,25_34,0.0,6
